date,temperature,humidity,luminosity
2019-11-27 16:12:42.079,24.3,33.0,45
2019-11-27 16:12:44.356,24.3,33.0,45
2019-11-27 16:12:46.630,24.2,33.0,47
2019-11-27 16:12:48.907,24.2,33.0,42
2019-11-27 16:12:51.184,24.2,33.0,44
2019-11-27 16:12:53.459,24.2,33.0,45
2019-11-27 16:12:55.734,24.2,33.0,54
2019-11-27 16:12:58.012,24.3,33.1,54
2019-11-27 16:13:00.284,24.2,33.0,52
2019-11-27 16:13:02.562,24.2,33.0,50
2019-11-27 16:13:04.840,24.2,33.0,50
2019-11-27 16:13:07.112,24.2,33.1,47
2019-11-27 16:13:09.389,24.2,33.1,49
2019-11-27 16:13:11.668,24.2,33.2,50
2019-11-27 16:13:13.941,24.2,33.1,51
2019-11-27 16:13:16.219,24.2,33.0,50
2019-11-27 16:13:18.495,24.2,33.0,50
2019-11-27 16:13:20.768,24.2,32.9,42
2019-11-27 16:13:23.046,24.2,32.8,48
2019-11-27 16:13:25.323,24.2,32.8,47
2019-11-27 16:13:27.596,24.2,32.7,47
2019-11-27 16:13:29.875,24.2,32.7,47
2019-11-27 16:13:32.148,24.2,32.7,50
2019-11-27 16:13:34.426,24.2,32.6,48
2019-11-27 16:13:36.702,24.2,32.6,49
2019-11-27 16:13:38.976,24.2,32.6,48
2019-11-27 16:13:41.253,24.2,32.5,51
2019-11-27 16:13:43.530,24.2,32.5,51
2019-11-27 16:13:45.804,24.2,32.5,51
2019-11-27 16:13:48.081,24.2,32.6,50
2019-11-27 16:13:50.358,24.2,32.6,51
2019-11-27 16:13:52.632,24.2,32.6,49
2019-11-27 16:13:54.908,24.2,32.6,51
2019-11-27 16:13:57.181,24.2,32.6,49
2019-11-27 16:13:59.459,24.2,32.6,48
2019-11-27 16:14:01.735,24.2,32.6,50
2019-11-27 16:14:04.008,24.2,32.6,50
2019-11-27 16:14:06.287,24.2,32.7,50
2019-11-27 16:14:08.564,24.2,32.7,50
2019-11-27 16:14:10.837,24.2,32.7,51
2019-11-27 16:14:13.114,24.2,32.6,48
2019-11-27 16:14:15.392,24.2,32.6,48
2019-11-27 16:14:17.664,24.2,32.6,49
2019-11-27 16:14:19.942,24.2,32.6,48
2019-11-27 16:14:22.219,24.2,32.5,48
2019-11-27 16:14:24.492,24.2,32.6,48
2019-11-27 16:14:26.769,24.2,32.6,49
2019-11-27 16:14:29.043,24.2,32.7,47
2019-11-27 16:14:31.319,24.2,32.8,49
2019-11-27 16:14:33.596,24.2,32.9,49
2019-11-27 16:14:35.870,24.2,32.9,49
2019-11-27 16:14:38.146,24.2,32.9,50
2019-11-27 16:14:40.425,24.2,33.0,51
2019-11-27 16:14:42.697,24.2,32.9,51
2019-11-27 16:14:44.975,24.2,33.0,51
2019-11-27 16:14:47.252,24.2,33.0,51
2019-11-27 16:14:49.525,24.2,33.0,51
2019-11-27 16:14:51.802,24.2,33.0,50
2019-11-27 16:14:54.078,24.2,33.0,51
2019-11-27 16:14:56.352,24.2,33.0,46
2019-11-27 16:14:58.631,24.2,33.0,51
2019-11-27 16:15:00.907,24.2,33.0,51
2019-11-27 16:15:03.181,24.2,33.1,51
2019-11-27 16:15:05.457,24.2,33.1,50
2019-11-27 16:15:07.735,24.2,33.1,50
2019-11-27 16:15:10.008,24.1,33.0,50
2019-11-27 16:15:12.285,24.2,33.0,50
2019-11-27 16:15:14.558,24.2,33.0,50
2019-11-27 16:15:16.837,24.2,33.1,40
2019-11-27 16:15:19.113,24.2,33.1,40
2019-11-27 16:15:21.386,24.2,33.1,40
2019-11-27 16:15:23.664,24.2,33.1,50
2019-11-27 16:15:25.942,24.2,33.0,50
2019-11-27 16:15:28.215,24.2,33.0,49
2019-11-27 16:15:30.491,24.1,32.9,46
2019-11-27 16:15:32.769,24.1,32.9,51
2019-11-27 16:15:35.041,24.1,32.9,41
2019-11-27 16:15:37.319,24.1,33.0,40
2019-11-27 16:15:39.597,24.1,33.0,46
2019-11-27 16:15:41.869,24.1,33.1,47
2019-11-27 16:15:44.146,24.1,33.1,51
2019-11-27 16:15:46.424,24.1,33.1,51
2019-11-27 16:15:48.697,24.1,33.0,44
2019-11-27 16:15:50.974,24.1,33.1,46
2019-11-27 16:15:53.251,24.1,33.2,45
2019-11-27 16:15:55.526,24.1,33.3,46
2019-11-27 16:15:57.802,24.1,33.3,43
2019-11-27 16:16:00.080,24.1,33.3,43
2019-11-27 16:16:02.353,24.1,33.3,43
2019-11-27 16:16:04.630,24.1,33.3,43
2019-11-27 16:16:06.908,24.1,33.4,43
2019-11-27 16:16:09.180,24.1,33.3,42
2019-11-27 16:16:11.458,24.1,33.2,44
2019-11-27 16:16:13.735,24.1,33.2,43
2019-11-27 16:16:16.008,24.1,33.1,43
2019-11-27 16:16:18.286,24.1,33.1,41
2019-11-27 16:16:20.562,24.1,33.0,41
2019-11-27 16:16:22.836,24.1,32.9,41
2019-11-27 16:16:25.113,24.1,32.9,49
2019-11-27 16:16:27.386,24.1,32.8,50
2019-11-27 16:16:29.663,24.1,32.8,50
2019-11-27 16:16:31.942,24.1,32.7,50
2019-11-27 16:16:34.214,24.1,32.7,50
2019-11-27 16:16:36.490,24.1,32.7,50
2019-11-27 16:16:38.768,24.1,32.6,47
2019-11-27 16:16:41.041,24.1,32.6,49
2019-11-27 16:16:43.319,24.1,32.6,42
